I0,I1,I2,I3,I4,I5,I6
74340.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74350.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74360.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74370.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74380.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74390.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74400.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74410.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74420.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74430.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74440.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74450.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74460.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74470.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74480.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74490.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74500.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74510.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74520.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74530.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74540.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74550.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74560.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74570.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74580.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74590.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74600.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74610.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74620.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74630.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74640.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74650.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74660.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74670.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74680.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74690.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74700.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74710.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74720.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74730.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74740.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74750.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74760.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74770.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74780.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74790.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74800.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74810.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74820.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74830.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74840.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74850.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74860.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74870.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74880.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74890.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74900.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74910.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74920.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74930.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74940.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74950.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74960.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74970.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74980.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
74990.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75000.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75010.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75020.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75030.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75040.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75050.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75060.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75070.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75080.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75090.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75100.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75110.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75120.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75130.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75140.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75150.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75160.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75170.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75180.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75190.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75200.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75210.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75220.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75230.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75240.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75250.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75260.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75270.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75280.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75290.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75300.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75310.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75320.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75330.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75340.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75350.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75360.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75370.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75380.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75390.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75400.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75410.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75420.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75430.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75440.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75450.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75460.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75470.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75480.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75490.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75500.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75510.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75520.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75530.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75540.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75550.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75560.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75570.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75580.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75590.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75600.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75610.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75620.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75630.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75640.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75650.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75660.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75670.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75680.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75690.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75700.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75710.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75720.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75730.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75740.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75750.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
75760.000000,65530.000000,0.000000,-6.000000,65534.000000,0.000000,-2.000000
