I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
89860.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89870.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89880.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89890.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89900.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89910.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89920.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89930.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89940.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89950.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89960.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89970.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89980.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89990.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90000.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90010.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90020.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90030.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90040.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90050.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90060.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90070.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90080.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90090.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90100.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
