Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
27734,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
28056,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
28175,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
28497,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
77772,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
77915,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
78141,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
78380,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
128299,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
128422,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
128505,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
128580,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
177653,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
177868,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
178088,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
178325,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
227731,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
227848,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
228094,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
228553,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
277608,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
278057,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
278176,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
278342,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
327636,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
327866,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
328136,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
328304,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
377628,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
377882,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
378053,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
378294,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
427742,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
427914,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
428181,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
428370,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
478197,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
478221,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
478460,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
478706,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
527688,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
527858,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
528043,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
528294,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
578133,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
578182,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
578185,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
578470,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
627633,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
627788,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
628083,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
628303,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
677723,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
677940,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
678264,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
678369,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
727794,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
727832,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
728375,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
728385,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
777753,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
777852,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
778104,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
778358,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
827776,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
827854,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
828109,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
828332,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
877620,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
877780,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
878039,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
878318,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
927700,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
927760,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
928028,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
928354,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
977806,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
977911,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
978283,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
978354,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1027728,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1027932,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1028072,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1028288,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1077686,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1077946,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1078125,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1078362,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1127580,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1127826,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1128069,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1128258,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1177826,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1178083,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1178116,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1178485,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1227798,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1227997,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1228115,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1228349,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1277690,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1278037,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1278422,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1278479,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1327679,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1327942,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1328119,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1328546,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1378059,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1378081,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1378285,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1378317,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1427673,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1427795,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1428027,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1428257,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
