Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2238029,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
2238813,00000325,false,Rx,0,8,00,00,00,00,00,00,00,00,
4883343,00000225,false,Rx,0,1,04,00,00,00,00,00,00,00,
4884123,00000225,false,Rx,0,8,CF,09,01,00,00,00,00,00,
28258054,00000225,false,Rx,0,1,05,00,00,00,00,00,00,00,
28258772,00000225,false,Rx,0,8,CF,0A,00,00,00,00,00,00,
40038426,00000235,false,Rx,0,1,04,00,00,00,00,00,00,00,
40039310,00000235,false,Rx,0,8,CF,09,01,00,00,00,00,01,
48982130,00000235,false,Rx,0,1,05,00,00,00,00,00,00,00,
48982888,00000235,false,Rx,0,8,CF,0A,00,00,00,00,00,01,
58095730,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
58096523,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
437376406,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
437377278,00000325,false,Rx,0,8,00,00,00,00,00,00,00,00,
441458152,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
441458949,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
445517465,00000125,false,Rx,0,2,11,55,00,00,00,00,00,00,
447198515,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
447199269,00000325,false,Rx,0,8,55,00,00,00,00,00,00,00,
451191817,00000135,false,Rx,0,2,11,55,00,00,00,00,00,00,
454766346,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
454767194,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
463809631,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
463810642,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
