I0,I1,I2,I3,I4,I5,I6,I7,I8
292723.000,23.000,31615.000,75.000,7200.000,0.000,0.000,0.000,0.000
292733.000,9.000,31624.000,75.000,7200.000,0.000,0.000,0.000,0.000
292743.000,6.000,31630.000,75.000,7200.000,0.000,0.000,0.000,0.000
292753.000,15.000,31645.000,75.000,7200.000,0.000,0.000,0.000,0.000
292763.000,8.000,31653.000,75.000,7200.000,0.000,0.000,0.000,0.000
292773.000,24.000,31677.000,75.000,7200.000,0.000,0.000,0.000,0.000
292783.000,16.000,31693.000,75.000,7200.000,0.000,0.000,0.000,0.000
292793.000,15.000,31708.000,75.000,7200.000,0.000,0.000,0.000,0.000
292803.000,12.000,31720.000,75.000,7200.000,0.000,0.000,0.000,0.000
292813.000,16.000,31736.000,75.000,7200.000,0.000,0.000,0.000,0.000
292823.000,11.000,31747.000,75.000,7200.000,0.000,0.000,0.000,0.000
292833.000,8.000,31755.000,75.000,7200.000,0.000,0.000,0.000,0.000
292843.000,9.000,31764.000,75.000,7200.000,0.000,0.000,0.000,0.000
292853.000,15.000,31779.000,75.000,7200.000,0.000,0.000,0.000,0.000
292863.000,8.000,31787.000,75.000,7200.000,0.000,0.000,0.000,0.000
292873.000,14.000,31801.000,75.000,7200.000,0.000,0.000,0.000,0.000
292883.000,12.000,31813.000,75.000,7200.000,0.000,0.000,0.000,0.000
292893.000,16.000,31829.000,75.000,7200.000,0.000,0.000,0.000,0.000
292903.000,8.000,31837.000,75.000,7200.000,0.000,0.000,0.000,0.000
292913.000,16.000,31853.000,75.000,7200.000,0.000,0.000,0.000,0.000
292923.000,8.000,31861.000,75.000,7200.000,0.000,0.000,0.000,0.000
292933.000,20.000,31881.000,75.000,7200.000,0.000,0.000,0.000,0.000
292943.000,4.000,31885.000,75.000,7200.000,0.000,0.000,0.000,0.000
292953.000,16.000,31901.000,75.000,7200.000,0.000,0.000,0.000,0.000
292963.000,19.000,31920.000,75.000,7200.000,0.000,0.000,0.000,0.000
292973.000,13.000,31933.000,75.000,7200.000,0.000,0.000,0.000,0.000
292983.000,7.000,31940.000,75.000,7200.000,0.000,0.000,0.000,0.000
292993.000,12.000,31952.000,75.000,7200.000,0.000,0.000,0.000,0.000
293003.000,16.000,31968.000,75.000,7200.000,0.000,0.000,0.000,0.000
293013.000,16.000,31984.000,75.000,7200.000,0.000,0.000,0.000,0.000
293023.000,4.000,31988.000,75.000,7200.000,0.000,0.000,0.000,0.000
293033.000,16.000,32004.000,75.000,7200.000,0.000,0.000,0.000,0.000
293043.000,12.000,32016.000,75.000,7200.000,0.000,0.000,0.000,0.000
293053.000,21.000,32037.000,75.000,7200.000,0.000,0.000,0.000,0.000
293063.000,7.000,32044.000,75.000,7200.000,0.000,0.000,0.000,0.000
293073.000,20.000,32064.000,75.000,7200.000,0.000,0.000,0.000,0.000
293083.000,13.000,32077.000,75.000,7200.000,0.000,0.000,0.000,0.000
293093.000,16.000,32093.000,75.000,7200.000,0.000,0.000,0.000,0.000
293103.000,16.000,32109.000,75.000,7200.000,0.000,0.000,0.000,0.000
293113.000,16.000,32125.000,75.000,7200.000,0.000,0.000,0.000,0.000
293123.000,12.000,32137.000,75.000,7200.000,0.000,0.000,0.000,0.000
293133.000,12.000,32149.000,75.000,7200.000,0.000,0.000,0.000,0.000
293143.000,4.000,32153.000,75.000,7200.000,0.000,0.000,0.000,0.000
293153.000,12.000,32165.000,75.000,7200.000,0.000,0.000,0.000,0.000
293163.000,8.000,32173.000,75.000,7200.000,0.000,0.000,0.000,0.000
293173.000,12.000,32185.000,75.000,7200.000,0.000,0.000,0.000,0.000
293183.000,10.000,32195.000,75.000,7200.000,0.000,0.000,0.000,0.000
293193.000,4.000,32199.000,75.000,7200.000,0.000,0.000,0.000,0.000
293203.000,9.000,32208.000,75.000,7200.000,0.000,0.000,0.000,0.000
293213.000,14.000,32222.000,75.000,7200.000,0.000,0.000,0.000,0.000
293223.000,8.000,32230.000,75.000,7200.000,0.000,0.000,0.000,0.000
293233.000,5.000,32235.000,75.000,7200.000,0.000,0.000,0.000,0.000
293243.000,8.000,32243.000,75.000,7200.000,0.000,0.000,0.000,0.000
293253.000,24.000,32267.000,75.000,7200.000,0.000,0.000,0.000,0.000
293263.000,9.000,32276.000,75.000,7200.000,0.000,0.000,0.000,0.000
293273.000,16.000,32292.000,75.000,7200.000,0.000,0.000,0.000,0.000
293283.000,9.000,32301.000,75.000,7200.000,0.000,0.000,0.000,0.000
293293.000,14.000,32315.000,75.000,7200.000,0.000,0.000,0.000,0.000
