I0,I1,I2,I3,I4,I5,I6
208593.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208603.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208613.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208623.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208633.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208643.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208653.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208663.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208673.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208683.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208693.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208703.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208713.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208723.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208733.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208743.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208753.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208763.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208773.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208783.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208793.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208803.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208813.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208823.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208833.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208843.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208853.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208863.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208873.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208883.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208893.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208903.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208913.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
