I0,I1,I2,I3,I4
1044623.000000,32232.000000,0.000000,0.000000,0.000000
1044633.000000,32232.000000,0.000000,0.000000,0.000000
1044643.000000,32232.000000,0.000000,0.000000,0.000000
1044653.000000,32232.000000,0.000000,0.000000,0.000000
1044663.000000,32232.000000,0.000000,0.000000,0.000000
1044673.000000,32232.000000,0.000000,0.000000,0.000000
1044683.000000,32232.000000,0.000000,0.000000,0.000000
1044693.000000,32232.000000,0.000000,0.000000,0.000000
1044703.000000,32232.000000,0.000000,0.000000,0.000000
1044713.000000,32232.000000,0.000000,0.000000,0.000000
1044723.000000,32232.000000,0.000000,0.000000,0.000000
1044733.000000,32232.000000,0.000000,0.000000,0.000000
1044743.000000,32232.000000,0.000000,0.000000,0.000000
1044753.000000,32232.000000,0.000000,0.000000,0.000000
1044763.000000,32232.000000,0.000000,0.000000,0.000000
1044773.000000,32232.000000,0.000000,0.000000,0.000000
1044783.000000,32232.000000,0.000000,0.000000,0.000000
1044793.000000,32232.000000,0.000000,0.000000,0.000000
1044803.000000,32232.000000,0.000000,0.000000,0.000000
1044813.000000,32232.000000,0.000000,0.000000,0.000000
1044823.000000,32232.000000,0.000000,0.000000,0.000000
1044833.000000,32232.000000,0.000000,0.000000,0.000000
1044843.000000,32232.000000,0.000000,0.000000,0.000000
1044853.000000,32232.000000,0.000000,0.000000,0.000000
1044863.000000,32232.000000,0.000000,0.000000,0.000000
1044873.000000,32232.000000,0.000000,0.000000,0.000000
1044883.000000,32232.000000,0.000000,0.000000,0.000000
1044893.000000,32232.000000,0.000000,0.000000,0.000000
1044903.000000,32232.000000,0.000000,0.000000,0.000000
1044913.000000,32232.000000,0.000000,0.000000,0.000000
1044923.000000,32232.000000,0.000000,0.000000,0.000000
1044933.000000,32232.000000,0.000000,0.000000,0.000000
1044943.000000,32232.000000,0.000000,0.000000,0.000000
1044953.000000,32232.000000,0.000000,0.000000,0.000000
1044963.000000,32232.000000,0.000000,0.000000,0.000000
1044973.000000,32232.000000,0.000000,0.000000,0.000000
1044983.000000,32232.000000,0.000000,0.000000,0.000000
1044993.000000,32232.000000,0.000000,0.000000,0.000000
1045003.000000,32232.000000,0.000000,0.000000,0.000000
1045013.000000,32232.000000,0.000000,0.000000,0.000000
1045023.000000,32232.000000,0.000000,0.000000,0.000000
1045033.000000,32232.000000,0.000000,0.000000,0.000000
1045043.000000,32232.000000,0.000000,0.000000,0.000000
1045053.000000,32232.000000,0.000000,0.000000,0.000000
1045063.000000,32232.000000,0.000000,0.000000,0.000000
1045073.000000,32232.000000,0.000000,0.000000,0.000000
1045083.000000,32232.000000,0.000000,0.000000,0.000000
1045093.000000,32232.000000,0.000000,0.000000,0.000000
1045103.000000,32232.000000,0.000000,0.000000,0.000000
1045113.000000,32232.000000,0.000000,0.000000,0.000000
1045123.000000,32232.000000,0.000000,0.000000,0.000000
1045133.000000,32232.000000,0.000000,0.000000,0.000000
1045143.000000,32232.000000,0.000000,0.000000,0.000000
1045153.000000,32232.000000,0.000000,0.000000,0.000000
1045163.000000,32232.000000,0.000000,0.000000,0.000000
1045173.000000,32232.000000,0.000000,0.000000,0.000000
1045183.000000,32232.000000,0.000000,0.000000,0.000000
1045193.000000,32232.000000,0.000000,0.000000,0.000000
1045203.000000,32232.000000,0.000000,0.000000,0.000000
1045213.000000,32232.000000,0.000000,0.000000,0.000000
1045223.000000,32232.000000,0.000000,0.000000,0.000000
1045233.000000,32232.000000,0.000000,0.000000,0.000000
1045243.000000,32232.000000,0.000000,0.000000,0.000000
1045253.000000,32232.000000,0.000000,0.000000,0.000000
1045263.000000,32232.000000,0.000000,0.000000,0.000000
1045273.000000,32232.000000,0.000000,0.000000,0.000000
1045283.000000,32232.000000,0.000000,0.000000,0.000000
1045293.000000,32232.000000,0.000000,0.000000,0.000000
1045303.000000,32232.000000,0.000000,0.000000,0.000000
1045313.000000,32232.000000,0.000000,0.000000,0.000000
1045323.000000,32232.000000,0.000000,0.000000,0.000000
1045333.000000,32232.000000,0.000000,0.000000,0.000000
1045343.000000,32232.000000,0.000000,0.000000,0.000000
1045353.000000,32232.000000,0.000000,0.000000,0.000000
1045363.000000,32232.000000,0.000000,0.000000,0.000000
1045373.000000,32232.000000,0.000000,0.000000,0.000000
1045383.000000,32232.000000,0.000000,0.000000,0.000000
1045393.000000,32232.000000,0.000000,0.000000,0.000000
1045403.000000,32232.000000,0.000000,0.000000,0.000000
1045413.000000,32232.000000,0.000000,0.000000,0.000000
1045423.000000,32232.000000,0.000000,0.000000,0.000000
1045433.000000,32232.000000,0.000000,0.000000,0.000000
1045443.000000,32232.000000,0.000000,0.000000,0.000000
1045453.000000,32232.000000,0.000000,0.000000,0.000000
1045463.000000,32232.000000,0.000000,0.000000,0.000000
1045473.000000,32232.000000,0.000000,0.000000,0.000000
1045483.000000,32232.000000,0.000000,0.000000,0.000000
1045493.000000,32232.000000,0.000000,0.000000,0.000000
1045503.000000,32232.000000,0.000000,0.000000,0.000000
1045513.000000,32232.000000,0.000000,0.000000,0.000000
1045523.000000,32232.000000,0.000000,0.000000,0.000000
1045533.000000,32232.000000,0.000000,0.000000,0.000000
1045543.000000,32232.000000,0.000000,0.000000,0.000000
1045553.000000,32232.000000,0.000000,0.000000,0.000000
1045563.000000,32232.000000,0.000000,0.000000,0.000000
1045573.000000,32232.000000,0.000000,0.000000,0.000000
1045583.000000,32232.000000,0.000000,0.000000,0.000000
1045593.000000,32232.000000,0.000000,0.000000,0.000000
1045603.000000,32232.000000,0.000000,0.000000,0.000000
1045613.000000,32232.000000,0.000000,0.000000,0.000000
1045623.000000,32232.000000,0.000000,0.000000,0.000000
1045633.000000,32232.000000,0.000000,0.000000,0.000000
1045643.000000,32232.000000,0.000000,0.000000,0.000000
1045653.000000,32232.000000,0.000000,0.000000,0.000000
1045663.000000,32232.000000,0.000000,0.000000,0.000000
1045673.000000,32232.000000,0.000000,0.000000,0.000000
1045683.000000,32232.000000,0.000000,0.000000,0.000000
1045693.000000,32232.000000,0.000000,0.000000,0.000000
1045703.000000,32232.000000,0.000000,0.000000,0.000000
1045713.000000,32232.000000,0.000000,0.000000,0.000000
