I0,I1,I2,I3,I4,I5,I6,I7,I8
314444.000,0.000,-2.000,0.000,0.000,6.000,373711.000,5.000,792.000
314454.000,0.000,-2.000,0.000,0.000,4.000,373715.000,5.000,720.000
314464.000,0.000,-2.000,0.000,0.000,5.000,373720.000,5.000,792.000
314474.000,0.000,-2.000,0.000,0.000,4.000,373724.000,5.000,792.000
314484.000,0.000,-2.000,0.000,0.000,5.000,373729.000,5.000,792.000
314494.000,0.000,-2.000,0.000,0.000,5.000,373734.000,5.000,792.000
314504.000,0.000,-2.000,0.000,0.000,5.000,373739.000,5.000,792.000
314514.000,0.000,-2.000,0.000,0.000,5.000,373744.000,5.000,792.000
314524.000,0.000,-2.000,0.000,0.000,5.000,373749.000,5.000,792.000
314534.000,0.000,-2.000,0.000,0.000,4.000,373753.000,5.000,792.000
314544.000,0.000,-2.000,0.000,0.000,6.000,373759.000,5.000,792.000
314554.000,0.000,-2.000,0.000,0.000,4.000,373763.000,5.000,720.000
314564.000,0.000,-2.000,0.000,0.000,5.000,373768.000,5.000,792.000
314574.000,0.000,-2.000,0.000,0.000,4.000,373772.000,5.000,792.000
314584.000,0.000,-2.000,0.000,0.000,5.000,373777.000,5.000,792.000
314594.000,0.000,-2.000,0.000,0.000,6.000,373783.000,5.000,792.000
314604.000,0.000,-2.000,0.000,0.000,4.000,373787.000,5.000,720.000
314614.000,0.000,-2.000,0.000,0.000,5.000,373792.000,5.000,792.000
314624.000,0.000,-2.000,0.000,0.000,4.000,373796.000,5.000,792.000
314634.000,0.000,-2.000,0.000,0.000,5.000,373801.000,5.000,792.000
314644.000,0.000,-2.000,0.000,0.000,5.000,373806.000,5.000,792.000
314654.000,0.000,-2.000,0.000,0.000,5.000,373811.000,5.000,792.000
314664.000,0.000,-2.000,0.000,0.000,4.000,373815.000,5.000,792.000
314674.000,0.000,-2.000,0.000,0.000,5.000,373820.000,5.000,792.000
314684.000,0.000,-2.000,0.000,0.000,5.000,373825.000,5.000,792.000
314694.000,0.000,-2.000,0.000,0.000,5.000,373830.000,5.000,792.000
314704.000,0.000,-2.000,0.000,0.000,5.000,373835.000,5.000,792.000
314714.000,0.000,-2.000,0.000,0.000,5.000,373840.000,5.000,792.000
314724.000,0.000,-2.000,0.000,0.000,5.000,373845.000,5.000,792.000
314734.000,0.000,-2.000,0.000,0.000,4.000,373849.000,5.000,792.000
314744.000,0.000,-2.000,0.000,0.000,6.000,373855.000,5.000,792.000
314754.000,0.000,-2.000,0.000,0.000,5.000,373860.000,5.000,720.000
314764.000,0.000,-2.000,0.000,0.000,4.000,373864.000,5.000,792.000
314774.000,0.000,-2.000,0.000,0.000,4.000,373868.000,5.000,792.000
314784.000,0.000,-2.000,0.000,0.000,5.000,373873.000,5.000,792.000
314794.000,0.000,-2.000,0.000,0.000,6.000,373879.000,5.000,792.000
314804.000,0.000,-2.000,0.000,0.000,4.000,373883.000,5.000,720.000
314814.000,0.000,-2.000,0.000,0.000,5.000,373888.000,5.000,792.000
314824.000,0.000,-2.000,0.000,0.000,5.000,373893.000,5.000,792.000
314834.000,0.000,-2.000,0.000,0.000,4.000,373897.000,5.000,792.000
314844.000,0.000,-2.000,0.000,0.000,5.000,373902.000,5.000,792.000
314854.000,0.000,-2.000,0.000,0.000,5.000,373907.000,5.000,792.000
314864.000,0.000,-2.000,0.000,0.000,5.000,373912.000,5.000,792.000
314874.000,0.000,-2.000,0.000,0.000,4.000,373916.000,5.000,792.000
314884.000,0.000,-2.000,0.000,0.000,5.000,373921.000,5.000,792.000
314894.000,0.000,-2.000,0.000,0.000,6.000,373927.000,5.000,792.000
314904.000,0.000,-2.000,0.000,0.000,4.000,373931.000,5.000,720.000
314914.000,0.000,-2.000,0.000,0.000,5.000,373936.000,5.000,792.000
314924.000,0.000,-2.000,0.000,0.000,5.000,373941.000,5.000,792.000
314934.000,0.000,-2.000,0.000,0.000,4.000,373945.000,5.000,792.000
314944.000,0.000,-2.000,0.000,0.000,6.000,373951.000,5.000,792.000
314954.000,0.000,-2.000,0.000,0.000,4.000,373955.000,5.000,720.000
314964.000,0.000,-2.000,0.000,0.000,5.000,373960.000,5.000,792.000
314974.000,0.000,-2.000,0.000,0.000,4.000,373964.000,5.000,792.000
314984.000,0.000,-2.000,0.000,0.000,5.000,373969.000,5.000,792.000
314994.000,0.000,-2.000,0.000,0.000,6.000,373975.000,5.000,792.000
315004.000,0.000,-2.000,0.000,0.000,4.000,373979.000,5.000,720.000
315014.000,0.000,-2.000,0.000,0.000,5.000,373984.000,5.000,792.000
315024.000,0.000,-2.000,0.000,0.000,5.000,373989.000,5.000,792.000
315034.000,0.000,-2.000,0.000,0.000,4.000,373993.000,5.000,792.000
315044.000,0.000,-2.000,0.000,0.000,6.000,373999.000,5.000,792.000
315054.000,0.000,-2.000,0.000,0.000,4.000,374003.000,5.000,720.000
315064.000,0.000,-2.000,0.000,0.000,5.000,374008.000,5.000,792.000
315074.000,0.000,-2.000,0.000,0.000,4.000,374012.000,5.000,792.000
315084.000,0.000,-2.000,0.000,0.000,5.000,374017.000,5.000,792.000
315094.000,0.000,-2.000,0.000,0.000,6.000,374023.000,5.000,792.000
315104.000,0.000,-2.000,0.000,0.000,4.000,374027.000,5.000,720.000
315114.000,0.000,-2.000,0.000,0.000,5.000,374032.000,5.000,792.000
315124.000,0.000,-2.000,0.000,0.000,5.000,374037.000,5.000,792.000
315134.000,0.000,-2.000,0.000,0.000,4.000,374041.000,5.000,792.000
315144.000,0.000,-2.000,0.000,0.000,6.000,374047.000,5.000,792.000
315154.000,0.000,-2.000,0.000,0.000,5.000,374052.000,5.000,720.000
315164.000,0.000,-2.000,0.000,0.000,4.000,374056.000,5.000,792.000
315174.000,0.000,-2.000,0.000,0.000,5.000,374061.000,5.000,792.000
315184.000,0.000,-2.000,0.000,0.000,4.000,374065.000,5.000,792.000
315194.000,0.000,-2.000,0.000,0.000,6.000,374071.000,5.000,792.000
315204.000,0.000,-2.000,0.000,0.000,5.000,374076.000,5.000,720.000
315214.000,0.000,-2.000,0.000,0.000,4.000,374080.000,5.000,792.000
315224.000,0.000,-2.000,0.000,0.000,5.000,374085.000,5.000,792.000
315234.000,0.000,-2.000,0.000,0.000,4.000,374089.000,5.000,792.000
315244.000,0.000,-2.000,0.000,0.000,6.000,374095.000,5.000,792.000
315254.000,0.000,-2.000,0.000,0.000,5.000,374100.000,5.000,720.000
315264.000,0.000,-2.000,0.000,0.000,4.000,374104.000,5.000,792.000
315274.000,0.000,-2.000,0.000,0.000,5.000,374109.000,5.000,792.000
315284.000,0.000,-2.000,0.000,0.000,5.000,374114.000,5.000,792.000
315294.000,0.000,-2.000,0.000,0.000,5.000,374119.000,5.000,792.000
315304.000,0.000,-2.000,0.000,0.000,5.000,374124.000,5.000,792.000
315314.000,0.000,-2.000,0.000,0.000,5.000,374129.000,5.000,792.000
315324.000,0.000,-2.000,0.000,0.000,4.000,374133.000,5.000,792.000
315334.000,0.000,-2.000,0.000,0.000,6.000,374139.000,5.000,792.000
315344.000,0.000,-2.000,0.000,0.000,5.000,374144.000,5.000,720.000
315354.000,0.000,-2.000,0.000,0.000,4.000,374148.000,5.000,720.000
315364.000,0.000,-2.000,0.000,0.000,5.000,374153.000,5.000,792.000
315374.000,0.000,-2.000,0.000,0.000,4.000,374157.000,5.000,792.000
315384.000,0.000,-2.000,0.000,0.000,6.000,374163.000,5.000,792.000
315394.000,0.000,-2.000,0.000,0.000,4.000,374167.000,5.000,720.000
315404.000,0.000,-2.000,0.000,0.000,5.000,374172.000,5.000,792.000
315414.000,0.000,-2.000,0.000,0.000,5.000,374177.000,5.000,792.000
315424.000,0.000,-2.000,0.000,0.000,4.000,374181.000,5.000,792.000
315434.000,0.000,-2.000,0.000,0.000,6.000,374187.000,5.000,792.000
315444.000,0.000,-2.000,0.000,0.000,5.000,374192.000,5.000,720.000
315454.000,0.000,-2.000,0.000,0.000,4.000,374196.000,5.000,720.000
315464.000,0.000,-2.000,0.000,0.000,5.000,374201.000,5.000,792.000
315474.000,0.000,-2.000,0.000,0.000,4.000,374205.000,5.000,792.000
315484.000,0.000,-2.000,0.000,0.000,6.000,374211.000,5.000,792.000
315494.000,0.000,-2.000,0.000,0.000,4.000,374215.000,5.000,720.000
315504.000,0.000,-2.000,0.000,0.000,5.000,374220.000,5.000,792.000
315514.000,0.000,-2.000,0.000,0.000,5.000,374225.000,5.000,792.000
315524.000,0.000,-2.000,0.000,0.000,4.000,374229.000,5.000,792.000
315534.000,0.000,-2.000,0.000,0.000,6.000,374235.000,5.000,792.000
315544.000,0.000,-2.000,0.000,0.000,5.000,374240.000,5.000,720.000
315554.000,0.000,-2.000,0.000,0.000,4.000,374244.000,5.000,720.000
315564.000,0.000,-2.000,0.000,0.000,5.000,374249.000,5.000,792.000
315574.000,0.000,-2.000,0.000,0.000,4.000,374253.000,5.000,792.000
315584.000,0.000,-2.000,0.000,0.000,5.000,374258.000,5.000,792.000
315594.000,0.000,-2.000,0.000,0.000,5.000,374263.000,5.000,792.000
315604.000,0.000,-2.000,0.000,0.000,5.000,374268.000,5.000,792.000
315614.000,0.000,-2.000,0.000,0.000,5.000,374273.000,5.000,792.000
315624.000,0.000,-2.000,0.000,0.000,4.000,374277.000,5.000,792.000
315634.000,0.000,-2.000,0.000,0.000,6.000,374283.000,5.000,792.000
315644.000,0.000,-2.000,0.000,0.000,5.000,374288.000,5.000,720.000
315654.000,0.000,-2.000,0.000,0.000,4.000,374292.000,5.000,720.000
315664.000,0.000,-2.000,0.000,0.000,5.000,374297.000,5.000,792.000
315674.000,0.000,-2.000,0.000,0.000,4.000,374301.000,5.000,792.000
315684.000,0.000,-2.000,0.000,0.000,6.000,374307.000,5.000,792.000
315694.000,0.000,-2.000,0.000,0.000,4.000,374311.000,5.000,720.000
315704.000,0.000,-2.000,0.000,0.000,5.000,374316.000,5.000,792.000
315714.000,0.000,-2.000,0.000,0.000,5.000,374321.000,5.000,792.000
315724.000,0.000,-2.000,0.000,0.000,4.000,374325.000,5.000,792.000
315734.000,0.000,-2.000,0.000,0.000,6.000,374331.000,5.000,792.000
315744.000,0.000,-2.000,0.000,0.000,5.000,374336.000,5.000,720.000
315754.000,0.000,-2.000,0.000,0.000,4.000,374340.000,5.000,720.000
315764.000,0.000,-2.000,0.000,0.000,4.000,374344.000,5.000,792.000
315774.000,0.000,-2.000,0.000,0.000,5.000,374349.000,5.000,792.000
315784.000,0.000,-2.000,0.000,0.000,4.000,374353.000,5.000,792.000
315794.000,0.000,-2.000,0.000,0.000,6.000,374359.000,5.000,792.000
315804.000,0.000,-2.000,0.000,0.000,5.000,374364.000,5.000,720.000
315814.000,0.000,-2.000,0.000,0.000,4.000,374368.000,5.000,792.000
315824.000,0.000,-2.000,0.000,0.000,5.000,374373.000,5.000,792.000
315834.000,0.000,-2.000,0.000,0.000,4.000,374377.000,5.000,792.000
315844.000,0.000,-2.000,0.000,0.000,6.000,374383.000,5.000,792.000
315854.000,0.000,-2.000,0.000,0.000,5.000,374388.000,5.000,720.000
315864.000,0.000,-2.000,0.000,0.000,4.000,374392.000,5.000,792.000
315874.000,0.000,-2.000,0.000,0.000,5.000,374397.000,5.000,792.000
315884.000,0.000,-2.000,0.000,0.000,4.000,374401.000,5.000,792.000
315894.000,0.000,-2.000,0.000,0.000,6.000,374407.000,5.000,792.000
315904.000,0.000,-2.000,0.000,0.000,5.000,374412.000,5.000,720.000
315914.000,0.000,-2.000,0.000,0.000,4.000,374416.000,5.000,792.000
315924.000,0.000,-2.000,0.000,0.000,5.000,374421.000,5.000,792.000
315934.000,0.000,-2.000,0.000,0.000,4.000,374425.000,5.000,792.000
315944.000,0.000,-2.000,0.000,0.000,6.000,374431.000,5.000,792.000
315954.000,0.000,-2.000,0.000,0.000,5.000,374436.000,5.000,720.000
315964.000,0.000,-2.000,0.000,0.000,4.000,374440.000,5.000,792.000
315974.000,0.000,-2.000,0.000,0.000,5.000,374445.000,5.000,792.000
315984.000,0.000,-2.000,0.000,0.000,4.000,374449.000,5.000,792.000
315994.000,0.000,-2.000,0.000,0.000,6.000,374455.000,5.000,792.000
316004.000,0.000,-2.000,0.000,0.000,5.000,374460.000,5.000,720.000
316014.000,0.000,-2.000,0.000,0.000,4.000,374464.000,5.000,792.000
316024.000,0.000,-2.000,0.000,0.000,5.000,374469.000,5.000,792.000
316034.000,0.000,-2.000,0.000,0.000,4.000,374473.000,5.000,792.000
316044.000,0.000,-2.000,0.000,0.000,6.000,374479.000,5.000,792.000
316054.000,0.000,-2.000,0.000,0.000,5.000,374484.000,5.000,720.000
316064.000,0.000,-2.000,0.000,0.000,4.000,374488.000,5.000,792.000
316074.000,0.000,-2.000,0.000,0.000,5.000,374493.000,5.000,792.000
316084.000,0.000,-2.000,0.000,0.000,4.000,374497.000,5.000,792.000
316094.000,0.000,-2.000,0.000,0.000,6.000,374503.000,5.000,792.000
316104.000,0.000,-2.000,0.000,0.000,4.000,374507.000,5.000,720.000
316114.000,0.000,-2.000,0.000,0.000,5.000,374512.000,5.000,792.000
316124.000,0.000,-2.000,0.000,0.000,5.000,374517.000,5.000,792.000
316134.000,0.000,-2.000,0.000,0.000,4.000,374521.000,5.000,792.000
316144.000,0.000,-2.000,0.000,0.000,6.000,374527.000,5.000,792.000
316154.000,0.000,-2.000,0.000,0.000,5.000,374532.000,5.000,720.000
316164.000,0.000,-2.000,0.000,0.000,4.000,374536.000,5.000,792.000
316174.000,0.000,-2.000,0.000,0.000,4.000,374540.000,5.000,792.000
316184.000,0.000,-2.000,0.000,0.000,5.000,374545.000,5.000,792.000
316194.000,0.000,-2.000,0.000,0.000,6.000,374551.000,5.000,792.000
316204.000,0.000,-2.000,0.000,0.000,4.000,374555.000,5.000,720.000
316214.000,0.000,-2.000,0.000,0.000,5.000,374560.000,5.000,792.000
316224.000,0.000,-2.000,0.000,0.000,5.000,374565.000,5.000,792.000
316234.000,0.000,-2.000,0.000,0.000,4.000,374569.000,5.000,792.000
316244.000,0.000,-2.000,0.000,0.000,6.000,374575.000,5.000,792.000
316254.000,0.000,-2.000,0.000,0.000,4.000,374579.000,5.000,720.000
316264.000,0.000,-2.000,0.000,0.000,5.000,374584.000,5.000,792.000
316274.000,0.000,-2.000,0.000,0.000,4.000,374588.000,5.000,792.000
316284.000,0.000,-2.000,0.000,0.000,5.000,374593.000,5.000,792.000
316294.000,0.000,-2.000,0.000,0.000,6.000,374599.000,5.000,792.000
316304.000,0.000,-2.000,0.000,0.000,4.000,374603.000,5.000,720.000
316314.000,0.000,-2.000,0.000,0.000,5.000,374608.000,5.000,792.000
316324.000,0.000,-2.000,0.000,0.000,5.000,374613.000,5.000,792.000
316334.000,0.000,-2.000,0.000,0.000,4.000,374617.000,5.000,792.000
316344.000,0.000,-2.000,0.000,0.000,6.000,374623.000,5.000,792.000
316354.000,0.000,-2.000,0.000,0.000,4.000,374627.000,5.000,720.000
316364.000,0.000,-2.000,0.000,0.000,5.000,374632.000,5.000,792.000
316374.000,0.000,-2.000,0.000,0.000,4.000,374636.000,5.000,792.000
316384.000,0.000,-2.000,0.000,0.000,5.000,374641.000,5.000,792.000
316394.000,0.000,-2.000,0.000,0.000,5.000,374646.000,5.000,792.000
316404.000,0.000,-2.000,0.000,0.000,5.000,374651.000,5.000,792.000
316414.000,0.000,-2.000,0.000,0.000,5.000,374656.000,5.000,792.000
316424.000,0.000,-2.000,0.000,0.000,5.000,374661.000,5.000,792.000
316434.000,0.000,-2.000,0.000,0.000,4.000,374665.000,5.000,792.000
316444.000,0.000,-2.000,0.000,0.000,6.000,374671.000,5.000,792.000
316454.000,0.000,-2.000,0.000,0.000,5.000,374676.000,5.000,720.000
316464.000,0.000,-2.000,0.000,0.000,4.000,374680.000,5.000,792.000
316474.000,0.000,-2.000,0.000,0.000,4.000,374684.000,5.000,792.000
316484.000,0.000,-2.000,0.000,0.000,5.000,374689.000,5.000,792.000
316494.000,0.000,-2.000,0.000,0.000,6.000,374695.000,5.000,792.000
316504.000,0.000,-2.000,0.000,0.000,4.000,374699.000,5.000,720.000
316514.000,0.000,-2.000,0.000,0.000,5.000,374704.000,5.000,792.000
316524.000,0.000,-2.000,0.000,0.000,4.000,374708.000,5.000,792.000
316534.000,0.000,-2.000,0.000,0.000,5.000,374713.000,5.000,792.000
316544.000,0.000,-2.000,0.000,0.000,5.000,374718.000,5.000,792.000
316554.000,0.000,-2.000,0.000,0.000,5.000,374723.000,5.000,792.000
316564.000,0.000,-2.000,0.000,0.000,5.000,374728.000,5.000,792.000
316574.000,0.000,-2.000,0.000,0.000,4.000,374732.000,5.000,792.000
316584.000,0.000,-2.000,0.000,0.000,5.000,374737.000,5.000,792.000
316594.000,0.000,-2.000,0.000,0.000,6.000,374743.000,5.000,792.000
316604.000,0.000,-2.000,0.000,0.000,4.000,374747.000,5.000,720.000
316614.000,0.000,-2.000,0.000,0.000,5.000,374752.000,5.000,792.000
316624.000,0.000,-2.000,0.000,0.000,5.000,374757.000,5.000,792.000
316634.000,0.000,-2.000,0.000,0.000,4.000,374761.000,5.000,792.000
316644.000,0.000,-2.000,0.000,0.000,6.000,374767.000,5.000,792.000
316654.000,0.000,-2.000,0.000,0.000,4.000,374771.000,5.000,720.000
