I0,I1,I2,I3,I4,I5,I6,I7,I8
306034.000,0.000,-2.000,0.000,0.000,31.000,354344.000,32.000,3744.000
306044.000,0.000,-2.000,0.000,0.000,31.000,354375.000,32.000,3744.000
306054.000,0.000,-2.000,0.000,0.000,30.000,354405.000,32.000,3744.000
306064.000,0.000,-2.000,0.000,0.000,31.000,354436.000,32.000,3816.000
306074.000,0.000,-2.000,0.000,0.000,31.000,354467.000,32.000,3744.000
306084.000,0.000,-2.000,0.000,0.000,30.000,354497.000,32.000,3744.000
306094.000,0.000,-2.000,0.000,0.000,31.000,354528.000,32.000,3816.000
306104.000,0.000,-2.000,0.000,0.000,31.000,354559.000,32.000,3744.000
306114.000,0.000,-2.000,0.000,0.000,32.000,354591.000,32.000,3744.000
306124.000,0.000,-2.000,0.000,0.000,30.000,354621.000,32.000,3672.000
306134.000,0.000,-2.000,0.000,0.000,31.000,354652.000,32.000,3744.000
306144.000,0.000,-2.000,0.000,0.000,31.000,354683.000,32.000,3744.000
306154.000,0.000,-2.000,0.000,0.000,30.000,354713.000,32.000,3744.000
306164.000,0.000,-2.000,0.000,0.000,31.000,354744.000,32.000,3744.000
306174.000,0.000,-2.000,0.000,0.000,31.000,354775.000,32.000,3744.000
306184.000,0.000,-2.000,0.000,0.000,30.000,354805.000,32.000,3744.000
306194.000,0.000,-2.000,0.000,0.000,31.000,354836.000,32.000,3744.000
306204.000,0.000,-2.000,0.000,0.000,31.000,354867.000,32.000,3744.000
306214.000,0.000,-2.000,0.000,0.000,30.000,354897.000,32.000,3744.000
306224.000,0.000,-2.000,0.000,0.000,31.000,354928.000,32.000,3744.000
306234.000,0.000,-2.000,0.000,0.000,31.000,354959.000,32.000,3744.000
306244.000,0.000,-2.000,0.000,0.000,30.000,354989.000,32.000,3744.000
306254.000,0.000,-2.000,0.000,0.000,31.000,355020.000,32.000,3744.000
306264.000,0.000,-2.000,0.000,0.000,31.000,355051.000,32.000,3744.000
306274.000,0.000,-2.000,0.000,0.000,31.000,355082.000,32.000,3744.000
306284.000,0.000,-2.000,0.000,0.000,31.000,355113.000,32.000,3744.000
306294.000,0.000,-2.000,0.000,0.000,31.000,355144.000,32.000,3744.000
306304.000,0.000,-2.000,0.000,0.000,31.000,355175.000,32.000,3744.000
306314.000,0.000,-2.000,0.000,0.000,30.000,355205.000,32.000,3744.000
306324.000,0.000,-2.000,0.000,0.000,31.000,355236.000,32.000,3744.000
306334.000,0.000,-2.000,0.000,0.000,31.000,355267.000,32.000,3744.000
306344.000,0.000,-2.000,0.000,0.000,30.000,355297.000,32.000,3744.000
306354.000,0.000,-2.000,0.000,0.000,32.000,355329.000,32.000,3744.000
306364.000,0.000,-2.000,0.000,0.000,31.000,355360.000,32.000,3672.000
306374.000,0.000,-2.000,0.000,0.000,31.000,355391.000,32.000,3672.000
306384.000,0.000,-2.000,0.000,0.000,30.000,355421.000,32.000,3672.000
306394.000,0.000,-2.000,0.000,0.000,30.000,355451.000,32.000,3744.000
306404.000,0.000,-2.000,0.000,0.000,31.000,355482.000,32.000,3744.000
306414.000,0.000,-2.000,0.000,0.000,31.000,355513.000,32.000,3744.000
306424.000,0.000,-2.000,0.000,0.000,30.000,355543.000,32.000,3744.000
306434.000,0.000,-2.000,0.000,0.000,30.000,355573.000,32.000,3744.000
306444.000,0.000,-2.000,0.000,0.000,32.000,355605.000,32.000,3744.000
306454.000,0.000,-2.000,0.000,0.000,31.000,355636.000,32.000,3672.000
306464.000,0.000,-2.000,0.000,0.000,30.000,355666.000,32.000,3744.000
306474.000,0.000,-2.000,0.000,0.000,31.000,355697.000,32.000,3744.000
306484.000,0.000,-2.000,0.000,0.000,30.000,355727.000,32.000,3744.000
306494.000,0.000,-2.000,0.000,0.000,30.000,355757.000,32.000,3744.000
306504.000,0.000,-2.000,0.000,0.000,32.000,355789.000,32.000,3744.000
306514.000,0.000,-2.000,0.000,0.000,30.000,355819.000,32.000,3672.000
306524.000,0.000,-2.000,0.000,0.000,30.000,355849.000,32.000,3744.000
306534.000,0.000,-2.000,0.000,0.000,31.000,355880.000,32.000,3744.000
306544.000,0.000,-2.000,0.000,0.000,31.000,355911.000,32.000,3744.000
306554.000,0.000,-2.000,0.000,0.000,30.000,355941.000,32.000,3744.000
306564.000,0.000,-2.000,0.000,0.000,31.000,355972.000,32.000,3816.000
306574.000,0.000,-2.000,0.000,0.000,31.000,356003.000,32.000,3744.000
306584.000,0.000,-2.000,0.000,0.000,30.000,356033.000,32.000,3744.000
306594.000,0.000,-2.000,0.000,0.000,32.000,356065.000,32.000,3816.000
306604.000,0.000,-2.000,0.000,0.000,31.000,356096.000,32.000,3672.000
306614.000,0.000,-2.000,0.000,0.000,31.000,356127.000,32.000,3744.000
306624.000,0.000,-2.000,0.000,0.000,30.000,356157.000,32.000,3744.000
306634.000,0.000,-2.000,0.000,0.000,31.000,356188.000,32.000,3744.000
306644.000,0.000,-2.000,0.000,0.000,31.000,356219.000,32.000,3744.000
306654.000,0.000,-2.000,0.000,0.000,30.000,356249.000,32.000,3744.000
306664.000,0.000,-2.000,0.000,0.000,30.000,356279.000,32.000,3744.000
306674.000,0.000,-2.000,0.000,0.000,31.000,356310.000,32.000,3744.000
306684.000,0.000,-2.000,0.000,0.000,31.000,356341.000,32.000,3744.000
306694.000,0.000,-2.000,0.000,0.000,31.000,356372.000,32.000,3744.000
306704.000,0.000,-2.000,0.000,0.000,30.000,356402.000,32.000,3744.000
306714.000,0.000,-2.000,0.000,0.000,31.000,356433.000,32.000,3744.000
306724.000,0.000,-2.000,0.000,0.000,30.000,356463.000,32.000,3744.000
306734.000,0.000,-2.000,0.000,0.000,32.000,356495.000,32.000,3816.000
306744.000,0.000,-2.000,0.000,0.000,30.000,356525.000,32.000,3672.000
306754.000,0.000,-2.000,0.000,0.000,31.000,356556.000,32.000,3744.000
306764.000,0.000,-2.000,0.000,0.000,31.000,356587.000,32.000,3744.000
306774.000,0.000,-2.000,0.000,0.000,30.000,356617.000,32.000,3744.000
306784.000,0.000,-2.000,0.000,0.000,31.000,356648.000,32.000,3744.000
306794.000,0.000,-2.000,0.000,0.000,31.000,356679.000,32.000,3744.000
306804.000,0.000,-2.000,0.000,0.000,30.000,356709.000,32.000,3744.000
306814.000,0.000,-2.000,0.000,0.000,31.000,356740.000,32.000,3816.000
306824.000,0.000,-2.000,0.000,0.000,31.000,356771.000,32.000,3744.000
306834.000,0.000,-2.000,0.000,0.000,30.000,356801.000,32.000,3744.000
306844.000,0.000,-2.000,0.000,0.000,32.000,356833.000,32.000,3816.000
306854.000,0.000,-2.000,0.000,0.000,31.000,356864.000,32.000,3672.000
306864.000,0.000,-2.000,0.000,0.000,31.000,356895.000,32.000,3744.000
306874.000,0.000,-2.000,0.000,0.000,30.000,356925.000,32.000,3744.000
306884.000,0.000,-2.000,0.000,0.000,31.000,356956.000,32.000,3744.000
306894.000,0.000,-2.000,0.000,0.000,31.000,356987.000,32.000,3744.000
306904.000,0.000,-2.000,0.000,0.000,30.000,357017.000,32.000,3744.000
306914.000,0.000,-2.000,0.000,0.000,31.000,357048.000,32.000,3744.000
306924.000,0.000,-2.000,0.000,0.000,31.000,357079.000,32.000,3744.000
306934.000,0.000,-2.000,0.000,0.000,30.000,357109.000,32.000,3744.000
306944.000,0.000,-2.000,0.000,0.000,32.000,357141.000,32.000,3744.000
306954.000,0.000,-2.000,0.000,0.000,31.000,357172.000,32.000,3672.000
306964.000,0.000,-2.000,0.000,0.000,30.000,357202.000,32.000,3744.000
306974.000,0.000,-2.000,0.000,0.000,31.000,357233.000,32.000,3744.000
306984.000,0.000,-2.000,0.000,0.000,30.000,357263.000,32.000,3744.000
306994.000,0.000,-2.000,0.000,0.000,31.000,357294.000,32.000,3744.000
307004.000,0.000,-2.000,0.000,0.000,31.000,357325.000,32.000,3744.000
307014.000,0.000,-2.000,0.000,0.000,30.000,357355.000,32.000,3744.000
307024.000,0.000,-2.000,0.000,0.000,31.000,357386.000,32.000,3744.000
307034.000,0.000,-2.000,0.000,0.000,31.000,357417.000,32.000,3744.000
307044.000,0.000,-2.000,0.000,0.000,31.000,357448.000,32.000,3744.000
307054.000,0.000,-2.000,0.000,0.000,31.000,357479.000,32.000,3744.000
307064.000,0.000,-2.000,0.000,0.000,30.000,357509.000,32.000,3744.000
307074.000,0.000,-2.000,0.000,0.000,31.000,357540.000,32.000,3744.000
307084.000,0.000,-2.000,0.000,0.000,31.000,357571.000,32.000,3744.000
307094.000,0.000,-2.000,0.000,0.000,30.000,357601.000,32.000,3744.000
307104.000,0.000,-2.000,0.000,0.000,31.000,357632.000,32.000,3744.000
307114.000,0.000,-2.000,0.000,0.000,31.000,357663.000,32.000,3744.000
307124.000,0.000,-2.000,0.000,0.000,30.000,357693.000,32.000,3744.000
307134.000,0.000,-2.000,0.000,0.000,31.000,357724.000,32.000,3744.000
307144.000,0.000,-2.000,0.000,0.000,31.000,357755.000,32.000,3744.000
307154.000,0.000,-2.000,0.000,0.000,30.000,357785.000,32.000,3744.000
307164.000,0.000,-2.000,0.000,0.000,31.000,357816.000,32.000,3744.000
307174.000,0.000,-2.000,0.000,0.000,31.000,357847.000,32.000,3744.000
307184.000,0.000,-2.000,0.000,0.000,30.000,357877.000,32.000,3744.000
307194.000,0.000,-2.000,0.000,0.000,31.000,357908.000,32.000,3744.000
307204.000,0.000,-2.000,0.000,0.000,31.000,357939.000,32.000,3744.000
307214.000,0.000,-2.000,0.000,0.000,30.000,357969.000,32.000,3744.000
307224.000,0.000,-2.000,0.000,0.000,31.000,358000.000,32.000,3744.000
307234.000,0.000,-2.000,0.000,0.000,31.000,358031.000,32.000,3744.000
