Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7206260,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7206270,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7256926,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7256960,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7306154,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7306591,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7356066,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7356135,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7406106,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7406192,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7456384,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7456507,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7506135,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7506159,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7556103,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7556151,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7606146,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7606181,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7656126,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7656315,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7706083,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7706110,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7756115,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7756190,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7805996,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7806184,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7856486,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7856504,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7906175,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7906298,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
7956015,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
7956111,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8006097,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8006284,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8056234,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8056252,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8106151,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8109525,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8156241,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8156291,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8205990,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8206120,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8266446,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8266530,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8306070,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8306219,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8356117,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8356184,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8406165,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8406197,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8456330,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8456410,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8506198,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8506317,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8556079,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8556245,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8606024,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8606299,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8656072,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8656150,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8706211,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8706249,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8756048,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8756148,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8806267,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8806316,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8856242,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8856253,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8907336,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8907360,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
8956059,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
8956223,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9006869,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9006923,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9056169,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9056186,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9106220,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9106665,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9156451,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9156469,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9206168,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9206224,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9256208,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9256327,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9307705,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9307730,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9356088,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9356142,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9406188,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9406206,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9461603,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9461619,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9506367,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9506390,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9558819,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9558839,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9608426,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9608439,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9656051,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9656217,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9706039,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9706164,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9756296,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9756328,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9805981,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9806127,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9856111,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9856241,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9905998,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9906129,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
9956229,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
9956250,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10006236,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10006252,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10061786,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10061800,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10106203,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10106219,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10156189,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10156240,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10206041,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10206219,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10256220,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10256239,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10305949,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10306112,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10356170,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10356209,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10406123,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10406246,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10456480,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10456526,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10506041,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10506177,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10557069,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10557093,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10607456,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10607465,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10656183,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10656210,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10706071,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10706149,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10756019,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10756079,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10806444,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10806463,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10856000,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10856122,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10906079,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10906113,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
10956102,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
10956274,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11005980,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11006116,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11056076,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11056232,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11107467,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11107480,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11155957,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11156074,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11206101,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11206116,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11255977,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11256066,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11305924,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11306103,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11356062,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11356125,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11406363,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11406504,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11456084,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11456291,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11506018,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11506134,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11556198,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11556222,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11605975,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11607441,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11656668,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11656708,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11705966,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11706112,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11756035,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11756130,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11807159,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11807193,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11855945,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11856043,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11906027,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11906263,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
11956239,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
11956760,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12006906,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12006926,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12056194,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12064637,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12107520,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12107536,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12155942,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12156050,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12209281,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12209299,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12255964,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12256076,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12306060,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12306081,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12356063,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12358650,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12406098,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12406272,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
