I0,I1,I2,I3,I4,I5,I6,I7,I8
223903.000,62.000,862535.000,0.000,0.000,0.000,-2.000,0.000,0.000
223913.000,63.000,862598.000,0.000,0.000,0.000,-2.000,0.000,0.000
223923.000,63.000,862661.000,0.000,0.000,0.000,-2.000,0.000,0.000
223933.000,62.000,862723.000,0.000,0.000,0.000,-2.000,0.000,0.000
223943.000,62.000,862785.000,0.000,0.000,0.000,-2.000,0.000,0.000
223953.000,62.000,862847.000,0.000,0.000,0.000,-2.000,0.000,0.000
223963.000,63.000,862910.000,0.000,0.000,0.000,-2.000,0.000,0.000
223973.000,63.000,862973.000,0.000,0.000,0.000,-2.000,0.000,0.000
223983.000,62.000,863035.000,0.000,0.000,0.000,-2.000,0.000,0.000
223993.000,62.000,863097.000,0.000,0.000,0.000,-2.000,0.000,0.000
224003.000,63.000,863160.000,0.000,0.000,0.000,-2.000,0.000,0.000
224013.000,63.000,863223.000,0.000,0.000,0.000,-2.000,0.000,0.000
224023.000,62.000,863285.000,0.000,0.000,0.000,-2.000,0.000,0.000
224033.000,62.000,863347.000,0.000,0.000,0.000,-2.000,0.000,0.000
224043.000,63.000,863410.000,0.000,0.000,0.000,-2.000,0.000,0.000
224053.000,63.000,863473.000,0.000,0.000,0.000,-2.000,0.000,0.000
224063.000,62.000,863535.000,0.000,0.000,0.000,-2.000,0.000,0.000
224073.000,63.000,863598.000,0.000,0.000,0.000,-2.000,0.000,0.000
224083.000,63.000,863661.000,0.000,0.000,0.000,-2.000,0.000,0.000
224093.000,62.000,863723.000,0.000,0.000,0.000,-2.000,0.000,0.000
224103.000,62.000,863785.000,0.000,0.000,0.000,-2.000,0.000,0.000
224113.000,62.000,863847.000,0.000,0.000,0.000,-2.000,0.000,0.000
224123.000,63.000,863910.000,0.000,0.000,0.000,-2.000,0.000,0.000
224133.000,63.000,863973.000,0.000,0.000,0.000,-2.000,0.000,0.000
224143.000,62.000,864035.000,0.000,0.000,0.000,-2.000,0.000,0.000
224153.000,63.000,864098.000,0.000,0.000,0.000,-2.000,0.000,0.000
224163.000,61.000,864159.000,0.000,0.000,0.000,-2.000,0.000,0.000
224173.000,63.000,864222.000,0.000,0.000,0.000,-2.000,0.000,0.000
224183.000,63.000,864285.000,0.000,0.000,0.000,-2.000,0.000,0.000
224193.000,62.000,864347.000,0.000,0.000,0.000,-2.000,0.000,0.000
224203.000,63.000,864410.000,0.000,0.000,0.000,-2.000,0.000,0.000
224213.000,63.000,864473.000,0.000,0.000,0.000,-2.000,0.000,0.000
224223.000,62.000,864535.000,0.000,0.000,0.000,-2.000,0.000,0.000
224233.000,62.000,864597.000,0.000,0.000,0.000,-2.000,0.000,0.000
224243.000,63.000,864660.000,0.000,0.000,0.000,-2.000,0.000,0.000
224253.000,62.000,864722.000,0.000,0.000,0.000,-2.000,0.000,0.000
224263.000,63.000,864785.000,0.000,0.000,0.000,-2.000,0.000,0.000
224273.000,62.000,864847.000,0.000,0.000,0.000,-2.000,0.000,0.000
224283.000,63.000,864910.000,0.000,0.000,0.000,-2.000,0.000,0.000
224293.000,62.000,864972.000,0.000,0.000,0.000,-2.000,0.000,0.000
224303.000,62.000,865034.000,0.000,0.000,0.000,-2.000,0.000,0.000
224313.000,63.000,865097.000,0.000,0.000,0.000,-2.000,0.000,0.000
224323.000,62.000,865159.000,0.000,0.000,0.000,-2.000,0.000,0.000
224333.000,63.000,865222.000,0.000,0.000,0.000,-2.000,0.000,0.000
224343.000,63.000,865285.000,0.000,0.000,0.000,-2.000,0.000,0.000
224353.000,58.000,865343.000,16.000,6408.000,0.000,-2.000,0.000,0.000
224363.000,49.000,865392.000,16.000,6696.000,0.000,-2.000,0.000,0.000
224373.000,42.000,865434.000,16.000,6768.000,0.000,-2.000,0.000,0.000
224383.000,35.000,865469.000,16.000,6840.000,0.000,-2.000,0.000,0.000
224393.000,29.000,865498.000,16.000,6840.000,0.000,-2.000,0.000,0.000
224403.000,25.000,865523.000,16.000,6768.000,0.000,-2.000,0.000,0.000
224413.000,22.000,865545.000,16.000,6768.000,0.000,-2.000,0.000,0.000
224423.000,18.000,865563.000,16.000,6768.000,0.000,-2.000,0.000,0.000
224433.000,16.000,865579.000,16.000,6696.000,0.000,-2.000,0.000,0.000
224443.000,14.000,865593.000,16.000,6624.000,0.000,-2.000,0.000,0.000
224453.000,12.000,865605.000,16.000,6552.000,0.000,-2.000,0.000,0.000
224463.000,11.000,865616.000,16.000,6480.000,0.000,-2.000,0.000,0.000
224473.000,10.000,865626.000,16.000,6408.000,0.000,-2.000,0.000,0.000
224483.000,9.000,865635.000,16.000,6264.000,0.000,-2.000,0.000,0.000
224493.000,8.000,865643.000,16.000,6192.000,0.000,-2.000,0.000,0.000
224503.000,8.000,865651.000,16.000,6048.000,0.000,-2.000,0.000,0.000
224513.000,8.000,865659.000,16.000,5976.000,0.000,-2.000,0.000,0.000
224523.000,8.000,865667.000,16.000,5904.000,0.000,-2.000,0.000,0.000
224533.000,8.000,865675.000,16.000,5832.000,0.000,-2.000,0.000,0.000
224543.000,8.000,865683.000,16.000,5688.000,0.000,-2.000,0.000,0.000
224553.000,8.000,865691.000,16.000,5616.000,0.000,-2.000,0.000,0.000
224563.000,9.000,865700.000,16.000,5544.000,0.000,-2.000,0.000,0.000
224573.000,10.000,865710.000,16.000,5472.000,0.000,-2.000,0.000,0.000
224583.000,9.000,865719.000,16.000,5472.000,0.000,-2.000,0.000,0.000
224593.000,10.000,865729.000,16.000,5328.000,0.000,-2.000,0.000,0.000
224603.000,10.000,865739.000,16.000,5328.000,0.000,-2.000,0.000,0.000
224613.000,11.000,865750.000,16.000,5256.000,0.000,-2.000,0.000,0.000
224623.000,11.000,865761.000,16.000,5256.000,0.000,-2.000,0.000,0.000
224633.000,12.000,865773.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224643.000,12.000,865785.000,16.000,5256.000,0.000,-2.000,0.000,0.000
224653.000,12.000,865797.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224663.000,13.000,865810.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224673.000,12.000,865822.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224683.000,13.000,865835.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224693.000,14.000,865849.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224703.000,13.000,865862.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224713.000,13.000,865875.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224723.000,14.000,865889.000,16.000,5040.000,0.000,-2.000,0.000,0.000
224733.000,14.000,865903.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224743.000,15.000,865918.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224753.000,14.000,865932.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224763.000,14.000,865946.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224773.000,15.000,865961.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224783.000,14.000,865975.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224793.000,15.000,865990.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224803.000,15.000,866005.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224813.000,14.000,866019.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224823.000,15.000,866034.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224833.000,15.000,866049.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224843.000,14.000,866063.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224853.000,15.000,866078.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224863.000,14.000,866092.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224873.000,15.000,866107.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224883.000,14.000,866121.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224893.000,14.000,866135.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224903.000,15.000,866150.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224913.000,15.000,866165.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224923.000,14.000,866179.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224933.000,15.000,866194.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224943.000,15.000,866209.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224953.000,14.000,866223.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224963.000,15.000,866238.000,16.000,5112.000,0.000,-2.000,0.000,0.000
224973.000,15.000,866253.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224983.000,14.000,866267.000,16.000,5184.000,0.000,-2.000,0.000,0.000
224993.000,14.000,866281.000,16.000,5112.000,0.000,-2.000,0.000,0.000
225003.000,14.000,866295.000,16.000,5112.000,0.000,-2.000,0.000,0.000
225013.000,15.000,866310.000,16.000,5112.000,0.000,-2.000,0.000,0.000
225023.000,15.000,866325.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225033.000,14.000,866339.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225043.000,15.000,866354.000,16.000,5112.000,0.000,-2.000,0.000,0.000
225053.000,14.000,866368.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225063.000,15.000,866383.000,16.000,5112.000,0.000,-2.000,0.000,0.000
225073.000,14.000,866397.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225083.000,15.000,866412.000,16.000,5112.000,0.000,-2.000,0.000,0.000
225093.000,14.000,866426.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225103.000,15.000,866441.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225113.000,14.000,866455.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225123.000,15.000,866470.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225133.000,14.000,866484.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225143.000,15.000,866499.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225153.000,14.000,866513.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225163.000,14.000,866527.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225173.000,15.000,866542.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225183.000,14.000,866556.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225193.000,15.000,866571.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225203.000,14.000,866585.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225213.000,15.000,866600.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225223.000,14.000,866614.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225233.000,15.000,866629.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225243.000,14.000,866643.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225253.000,15.000,866658.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225263.000,15.000,866673.000,16.000,5184.000,0.000,-2.000,0.000,0.000
225273.000,14.000,866687.000,16.000,5256.000,0.000,-2.000,0.000,0.000
225283.000,14.000,866701.000,16.000,5184.000,0.000,-2.000,0.000,0.000
