I0,I1,I2,I3,I4,I5,I6,I7,I8
35234.000,14.000,114921.000,16.000,5112.000,0.000,0.000,0.000,0.000
35244.000,15.000,114936.000,16.000,5112.000,0.000,0.000,0.000,0.000
35254.000,14.000,114950.000,16.000,5184.000,0.000,0.000,0.000,0.000
35264.000,15.000,114965.000,16.000,5112.000,0.000,0.000,0.000,0.000
35274.000,14.000,114979.000,16.000,5184.000,0.000,0.000,0.000,0.000
35284.000,14.000,114993.000,16.000,5112.000,0.000,0.000,0.000,0.000
35294.000,15.000,115008.000,16.000,5112.000,0.000,0.000,0.000,0.000
35304.000,14.000,115022.000,16.000,5184.000,0.000,0.000,0.000,0.000
35314.000,15.000,115037.000,16.000,5112.000,0.000,0.000,0.000,0.000
35324.000,14.000,115051.000,16.000,5184.000,0.000,0.000,0.000,0.000
35334.000,14.000,115065.000,16.000,5112.000,0.000,0.000,0.000,0.000
35344.000,15.000,115080.000,16.000,5112.000,0.000,0.000,0.000,0.000
35354.000,14.000,115094.000,16.000,5184.000,0.000,0.000,0.000,0.000
35364.000,15.000,115109.000,16.000,5112.000,0.000,0.000,0.000,0.000
35374.000,14.000,115123.000,16.000,5184.000,0.000,0.000,0.000,0.000
35384.000,15.000,115138.000,16.000,5112.000,0.000,0.000,0.000,0.000
35394.000,14.000,115152.000,16.000,5184.000,0.000,0.000,0.000,0.000
35404.000,14.000,115166.000,16.000,5112.000,0.000,0.000,0.000,0.000
35414.000,15.000,115181.000,16.000,5112.000,0.000,0.000,0.000,0.000
35424.000,15.000,115196.000,16.000,5184.000,0.000,0.000,0.000,0.000
35434.000,14.000,115210.000,16.000,5184.000,0.000,0.000,0.000,0.000
35444.000,15.000,115225.000,16.000,5112.000,0.000,0.000,0.000,0.000
35454.000,14.000,115239.000,16.000,5184.000,0.000,0.000,0.000,0.000
35464.000,14.000,115253.000,16.000,5112.000,0.000,0.000,0.000,0.000
35474.000,15.000,115268.000,16.000,5112.000,0.000,0.000,0.000,0.000
35484.000,14.000,115282.000,16.000,5184.000,0.000,0.000,0.000,0.000
35494.000,15.000,115297.000,16.000,5112.000,0.000,0.000,0.000,0.000
35504.000,15.000,115312.000,16.000,5184.000,0.000,0.000,0.000,0.000
35514.000,14.000,115326.000,16.000,5184.000,0.000,0.000,0.000,0.000
35524.000,15.000,115341.000,16.000,5184.000,0.000,0.000,0.000,0.000
35534.000,15.000,115356.000,16.000,5184.000,0.000,0.000,0.000,0.000
35544.000,14.000,115370.000,16.000,5184.000,0.000,0.000,0.000,0.000
35554.000,15.000,115385.000,16.000,5184.000,0.000,0.000,0.000,0.000
35564.000,15.000,115400.000,16.000,5184.000,0.000,0.000,0.000,0.000
35574.000,14.000,115414.000,16.000,5256.000,0.000,0.000,0.000,0.000
35584.000,14.000,115428.000,16.000,5184.000,0.000,0.000,0.000,0.000
35594.000,15.000,115443.000,16.000,5184.000,0.000,0.000,0.000,0.000
35604.000,14.000,115457.000,16.000,5184.000,0.000,0.000,0.000,0.000
35614.000,15.000,115472.000,16.000,5184.000,0.000,0.000,0.000,0.000
35624.000,14.000,115486.000,16.000,5256.000,0.000,0.000,0.000,0.000
35634.000,14.000,115500.000,16.000,5184.000,0.000,0.000,0.000,0.000
35644.000,15.000,115515.000,16.000,5184.000,0.000,0.000,0.000,0.000
35654.000,14.000,115529.000,16.000,5256.000,0.000,0.000,0.000,0.000
35664.000,15.000,115544.000,16.000,5184.000,0.000,0.000,0.000,0.000
35674.000,13.000,115557.000,16.000,5256.000,0.000,0.000,0.000,0.000
35684.000,15.000,115572.000,16.000,5112.000,0.000,0.000,0.000,0.000
35694.000,14.000,115586.000,16.000,5184.000,0.000,0.000,0.000,0.000
35704.000,14.000,115600.000,16.000,5184.000,0.000,0.000,0.000,0.000
35714.000,14.000,115614.000,16.000,5184.000,0.000,0.000,0.000,0.000
