I0,I1,I2,I3,I4,I5,I6,I7,I8
53084.000,-13.000,28629.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53094.000,-11.000,28618.000,-20.000,3528.000,0.000,0.000,0.000,0.000
53104.000,-12.000,28606.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53114.000,-11.000,28595.000,-20.000,3600.000,0.000,0.000,0.000,0.000
53124.000,-12.000,28583.000,-20.000,3744.000,0.000,0.000,0.000,0.000
53134.000,-12.000,28571.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53144.000,-12.000,28559.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53154.000,-12.000,28547.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53164.000,-12.000,28535.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53174.000,-11.000,28524.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53184.000,-11.000,28513.000,-20.000,3744.000,0.000,0.000,0.000,0.000
53194.000,-13.000,28500.000,-20.000,3744.000,0.000,0.000,0.000,0.000
53204.000,-12.000,28488.000,-20.000,3600.000,0.000,0.000,0.000,0.000
53214.000,-12.000,28476.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53224.000,-11.000,28465.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53234.000,-13.000,28452.000,-20.000,3744.000,0.000,0.000,0.000,0.000
53244.000,-13.000,28439.000,-20.000,3600.000,0.000,0.000,0.000,0.000
53254.000,-12.000,28427.000,-20.000,3600.000,0.000,0.000,0.000,0.000
53264.000,-12.000,28415.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53274.000,-12.000,28403.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53284.000,-12.000,28391.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53294.000,-12.000,28379.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53304.000,-12.000,28367.000,-20.000,3672.000,0.000,0.000,0.000,0.000
53314.000,-13.000,28354.000,-20.000,3672.000,0.000,0.000,0.000,0.000
