I0,I1,I2,I3,I4,I5,I6,I7,I8
32954.000,53.000,148215.000,0.000,0.000,0.000,-2.000,0.000,0.000
32964.000,61.000,148276.000,0.000,0.000,0.000,-2.000,0.000,0.000
32974.000,57.000,148333.000,0.000,0.000,0.000,-2.000,0.000,0.000
32984.000,57.000,148390.000,0.000,0.000,0.000,-2.000,0.000,0.000
32994.000,57.000,148447.000,0.000,0.000,0.000,-2.000,0.000,0.000
33004.000,57.000,148504.000,0.000,0.000,0.000,-2.000,0.000,0.000
33014.000,57.000,148561.000,0.000,0.000,0.000,-2.000,0.000,0.000
33024.000,60.000,148621.000,0.000,0.000,0.000,-2.000,0.000,0.000
33034.000,53.000,148674.000,0.000,0.000,0.000,-2.000,0.000,0.000
33044.000,57.000,148731.000,1.000,5904.000,0.000,-2.000,0.000,0.000
33054.000,50.000,148781.000,1.000,6768.000,0.000,-2.000,0.000,0.000
33064.000,40.000,148821.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33074.000,34.000,148855.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33084.000,28.000,148883.000,1.000,7200.000,0.000,-2.000,0.000,0.000
33094.000,23.000,148906.000,1.000,7200.000,0.000,-2.000,0.000,0.000
33104.000,19.000,148925.000,1.000,7200.000,0.000,-2.000,0.000,0.000
33114.000,15.000,148940.000,1.000,7200.000,0.000,-2.000,0.000,0.000
33124.000,13.000,148953.000,1.000,7200.000,0.000,-2.000,0.000,0.000
33134.000,10.000,148963.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33144.000,8.000,148971.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33154.000,7.000,148978.000,1.000,7200.000,0.000,-2.000,0.000,0.000
33164.000,5.000,148983.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33174.000,4.000,148987.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33184.000,3.000,148990.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33194.000,1.000,148991.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33204.000,2.000,148993.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33214.000,0.000,148993.000,1.000,7128.000,0.000,-2.000,0.000,0.000
33224.000,0.000,148993.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33234.000,0.000,148993.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33244.000,0.000,148993.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33254.000,0.000,148993.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33264.000,0.000,148993.000,1.000,7056.000,0.000,-2.000,0.000,0.000
33274.000,0.000,148993.000,1.000,6984.000,0.000,-2.000,0.000,0.000
33284.000,0.000,148993.000,1.000,6984.000,0.000,-2.000,0.000,0.000
33294.000,0.000,148993.000,1.000,6984.000,0.000,-2.000,0.000,0.000
33304.000,0.000,148993.000,1.000,6984.000,0.000,-2.000,0.000,0.000
33314.000,0.000,148993.000,1.000,6984.000,0.000,-2.000,0.000,0.000
33324.000,0.000,148993.000,1.000,6984.000,0.000,-2.000,0.000,0.000
33334.000,0.000,148993.000,1.000,6912.000,0.000,-2.000,0.000,0.000
33344.000,0.000,148993.000,1.000,6912.000,0.000,-2.000,0.000,0.000
33354.000,0.000,148993.000,1.000,6912.000,0.000,-2.000,0.000,0.000
33364.000,0.000,148993.000,1.000,6912.000,0.000,-2.000,0.000,0.000
33374.000,0.000,148993.000,1.000,6912.000,0.000,-2.000,0.000,0.000
33384.000,0.000,148993.000,1.000,6912.000,0.000,-2.000,0.000,0.000
33394.000,0.000,148993.000,1.000,6840.000,0.000,-2.000,0.000,0.000
33404.000,0.000,148993.000,1.000,6840.000,0.000,-2.000,0.000,0.000
33414.000,0.000,148993.000,1.000,6840.000,0.000,-2.000,0.000,0.000
33424.000,0.000,148993.000,1.000,6840.000,0.000,-2.000,0.000,0.000
33434.000,0.000,148993.000,1.000,6840.000,0.000,-2.000,0.000,0.000
33444.000,1.000,148994.000,1.000,6840.000,0.000,-2.000,0.000,0.000
